,title,text,time,image,country,3let,countrycode
0, Έλεγχοι του ΕΟΔΥ σε οδηγούς και επιβάτες αυτοκινήτων: Σε 5.469 τεστ βρέθηκαν 28 κρούσματα ,  Τα θετικά αποτελέσματα των ελέγχων αφορούν σε 15 άνδρες και 13 γυναίκες.  ,2020-12-23 20:13:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/f5/f5e2cac5bad245d5870e5ecce387a652.jpg,ελλάδα,,GR
1, Ελβετία: Ξεκίνησε ο εμβολιασμός κατά του κορονοϊού ,"   Μια γυναίκα άνω των 90 ετών στο καντόνι της Λουκέρνης, ήταν η πρώτη ασθενής που έλαβε το εμβόλιο, τέσσερις μόλις ημέρες μετά την έγκρισή του από τις αρχές.   ",2020-12-23 20:05:00,https://www.capital.gr/Content/ImagesDatabase/p/680x447/crop/both/0b/0b147e46ba884d2cb4e42a7bf542222a.jpg,ελβετία,,CH
2, Αιθιοπία: Δεκάδες νεκροί σε επίθεση ενόπλων στην επαρχία Μπενισανγκούλ-Γκουμούζ ,  Στο τελευταίο ξέσπασμα αιματηρής βίας μεταξύ αντιμαχόμενων εθνοτικών ομάδων στην περιοχή.  ,2020-12-23 20:00:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/01/016951e82f9c40d28f288042e5d23b7b.jpg,αιθιοπία,,ET
3, Διασύνδεση Κρήτης-Πελ/σου: Ηλεκτρίστηκε το μεγαλύτερο υποβρύχιο καλώδιο εναλλασσόμενου ρεύματος παγκοσμίως ,  Η ολοκλήρωση της 24ωρης δοκιμαστικής ηλέκτρισης σηματοδοτεί μια ιστορική επιτυχία  ,2020-12-23 19:57:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/83/8334283e913d4745aadd9c60192f294c.jpg,ελλάδα,,GR
4, Μόσχα: Δημοτική σύμβουλος καταδικάστηκε σε φυλάκιση 2 ετών με αναστολή για παραβίαση του νόμου περί διαδηλώσεων ,"  Παραβίασε επανειλημμένως την νομοθεσία περί συγκεντρώσεων διαμαρτυρίας, διοργανώνοντας συγκεντρώσεις χωρίς την έγκριση των αρχών.  ",2020-12-23 19:57:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/8e/8eae6ef4210d4aa8984ff3fcbcd21617.jpg,ελλάδα,,GR
5, Ιταλία: 553 νέοι θάνατοι και 14.522 κρούσματα τις τελευταίες 24 ώρες ,"  Από την αρχή της πανδημίας, στην Ιταλία έχουν πεθάνει 70.395 άνθρωποι.  ",2020-12-23 19:55:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/de/de437a736f72441cb9338e1e77103b3f.jpg,ιταλία,,IT
6, Αυστρία: Μόλις το 1/3 του πληθυσμού προτίθεται να εμβολιαστεί για τον κορονοϊό ,"  Τον περασμένο Μάιο, σε παρόμοια δημοσκόπηση, το αντίστοιχο ποσοστό ήταν 48%.  ",2020-12-23 19:53:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/27/2728422d5aa64d969f8f7c64d676b35a.jpg,αυστρία,,AT
7, Ρουμανία: Έλαβε ψήφο εμπιστοσύνης η κυβέρνηση του Φλορίν Κίτσου ,"  Η κυβέρνηση χρειαζόταν 233 ψήφους και έλαβε συνολικά 260, ενώ 186 βουλευτές την καταψήφισαν.  ",2020-12-23 19:51:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/72/724bff79964840f389c2426460df022f.jpg,ρουμανία,,RO
8, Οι ελπίδες για συμφωνία ΕΕ-Βρετανίας έφεραν κέρδη για τα ευρωπαϊκά χρηματιστήρια ,  Οι επενδυτές έχουν το βλέμμα τους στραμμένο και ελπίζουν στη γρήγορη επίτευξη συμφωνίας μεταξύ της Μεγάλης Βρετανίας και της Ευρωπαϊκής Ένωσης.  ,2020-12-23 19:44:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/a7/a7c5e9f294e047418850888a0f16e91b.jpg,ελλάδα,,GR
9," Νέα κινητή μονάδα Εντατικής Θεραπείας Νεογνών και Παιδιών για το ""Χαμόγελο του Παιδιού"" μέσω του INTERSYC II ",  Με έδρα την Θεσσαλονίκη η μονάδα θα καλύψει όλη τη Βόρειο Ελλάδα.  ,2020-12-23 19:42:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/94/943a64a49ef0480780f2ffcd756cc054.jpg,ελλάδα,,GR
10, Τουρκία: Ρεκόρ θανάτων από τον κορονοϊό το τελευταίο 24ωρο ,"  Καταγράφηκαν 259 θάνατοι, αριθμός που αυξάνει σε 18.861 τον συνολικό αριθμό των νεκρών στη χώρα.  ",2020-12-23 19:32:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/4c/4c9975b8ec4e4318900563e0d64af141.jpg,τουρκία,,TR
11, ΡΑΕ: Έκρηξη επενδυτικού ενδιαφέροντος στον κύκλο υποβολής του Δεκεμβρίου 2020 ,"   Υποβλήθησαν 1.864 αιτήσεις συνολικής ισχύος 45,55 GW.   ",2020-12-23 19:30:00,https://www.capital.gr/Content/ImagesDatabase/p/680x447/crop/both/6d/6d1bd383d155472e905dbb3cf7fe831c.jpg,ελλάδα,,GR
12," ΗΠΑ: Αποχωρεί από την ""ομάδα κρίσεων"" του Λευκού Οίκου η Δρ Ντέμπορα Μπιρξ ","  Αφού δέχτηκε σφοδρή κριτική για μια οικογενειακή συγκέντρωση στην οποία συμμετείχε, εν μέσω της πανδημίας.  ",2020-12-23 19:28:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/c8/c8a9cbb3913d4b93aee32cb1a474a5f6.jpg,ελλάδα,,GR
